sim_scenario,num_reps,pop_size_1,pop_size_2,mig_rate_1,mig_rate_2,prop_sampled,err_var,err_diag,miss_var,miss_diag
cyclone_nonWF,5,1200,1200,0,0,1,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0,0,1,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0,0,1,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0,0,0.75,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0,0,0.75,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0,0,0.75,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0,0,0.75,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0,0,0.5,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0,0,0.5,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0,0,0.5,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0,0,0.5,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0,0,0.25,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0,0,0.25,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0,0,0.25,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0,0,0.25,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.02,0.02,1,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.02,0.02,1,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.02,0.02,1,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.02,0.02,1,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.02,0.02,0.75,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.02,0.02,0.75,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.02,0.02,0.75,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.02,0.02,0.75,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.02,0.02,0.5,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.02,0.02,0.5,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.02,0.02,0.5,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.02,0.02,0.5,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.02,0.02,0.25,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.02,0.02,0.25,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.02,0.02,0.25,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.02,0.02,0.25,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.05,0.05,1,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.05,0.05,1,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.05,0.05,1,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.05,0.05,1,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.05,0.05,0.75,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.05,0.05,0.75,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.05,0.05,0.75,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.05,0.05,0.75,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.05,0.05,0.5,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.05,0.05,0.5,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.05,0.05,0.5,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.05,0.05,0.5,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.05,0.05,0.25,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.05,0.05,0.25,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.05,0.05,0.25,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.05,0.05,0.25,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.1,0.1,1,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.1,0.1,1,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.1,0.1,1,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.1,0.1,1,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.1,0.1,0.75,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.1,0.1,0.75,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.1,0.1,0.75,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.1,0.1,0.75,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.1,0.1,0.5,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.1,0.1,0.5,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.1,0.1,0.5,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.1,0.1,0.5,0.01,0.004,0.5,0.5
cyclone_nonWF,5,1200,1200,0.1,0.1,0.25,0.01,0.004,0,0
cyclone_nonWF,5,1200,1200,0.1,0.1,0.25,0.01,0.004,0.15,0.15
cyclone_nonWF,5,1200,1200,0.1,0.1,0.25,0.01,0.004,0.25,0.25
cyclone_nonWF,5,1200,1200,0.1,0.1,0.25,0.01,0.004,0.5,0.5
